Date/Time,Air Temperature
7/1/19 15:03,26.9
7/2/19 15:03,29.8
7/3/19 15:03,31.8
7/4/19 15:03,35.2
7/5/19 15:03,32.5
7/6/19 15:03,32.1
7/7/19 15:03,26.4
7/8/19 15:03,28.8
7/9/19 15:03,27.3
7/10/19 15:03,26.2
7/11/19 15:03,24.2
7/12/19 15:03,23.4
7/13/19 15:03,29.0
7/14/19 15:03,24.8
7/15/19 15:03,26.8
7/16/19 15:03,28.3
7/17/19 15:03,29.5
7/18/19 15:03,24.4
7/19/19 15:03,29.3
7/20/19 15:03,35.6
7/21/19 15:03,29.1
7/22/19 15:03,21.8
7/23/19 15:03,23.6
7/24/19 15:03,26.9
7/25/19 15:03,25.6
7/26/19 15:03,30.4
7/27/19 15:03,28.9
7/28/19 15:03,30.0
7/29/19 15:03,32.5
7/30/19 15:03,33.3
7/31/19 15:03,31.2
